date,test,prediction
2018-04-10,-23.0,-24.205069241941302
2018-04-11,-47.0,15.002235076756524
2018-04-12,-40.0,-2.686124940251391
2018-04-13,-44.0,5.5858813132251
2018-04-14,3.0,-3.553400417911802
2018-04-15,377.0,4.443994348295718
2018-04-16,-101.0,-3.6246843754371243
2018-04-17,-123.0,3.826943880508696
2018-04-18,-65.0,-3.439411051156531
2018-04-19,67.0,3.4117477590585956
2018-04-20,-28.0,-3.183389836922809
2018-04-21,-87.0,3.0843872123318437
2018-04-22,-34.0,-2.9196124507863646
2018-04-23,37.0,2.80366073519984
2018-04-24,-16.0,-2.6685031540317206
2018-04-25,6.0,2.5538256633122116
2018-04-26,-46.0,-2.435813481773673
2018-04-27,35.0,2.328117125842271
2018-04-28,-47.0,-2.2223112779623415
2018-04-29,73.0,2.1230057668569873
2018-04-30,74.0,-2.027139644454802
2018-05-01,-122.0,1.9361908720380243
2018-05-02,-10.0,-1.8489754995394314
2018-05-03,-13.0,1.7658933726168573
2018-05-04,-24.0,-1.686423780864239
2018-05-05,12.0,1.610601686138732
2018-05-06,-7.0,-1.5381466051789057
2018-05-07,7.0,1.4689757625094815
2018-05-08,20.0,-1.4029009553049754
2018-05-09,-16.0,1.3398068120312208
2018-05-10,0.0,-1.2795451927616603
2018-05-11,-6.0,1.221997004077635
2018-05-12,16.0,-1.1670353091414754
2018-05-13,17.0,1.1145466642880846
2018-05-14,-9.0,-1.064418137859812
2018-05-15,-32.0,1.0165445843744834
2018-05-16,13.0,-0.9708239911292567
2018-05-17,4.0,0.9271598749245021
2018-05-18,-7.0,-0.8854595369134279
2018-05-19,52.0,0.8456347748633166
2018-05-20,-37.0,-0.8076011605172861
2018-05-21,0.0,0.7712781767356549
2018-05-22,-10.0,-0.7365888606182356
2018-05-23,-10.0,0.7034597503664395
2018-05-24,-11.0,-0.6718206648834938
2018-05-25,2.0,0.6416045933321917
2018-05-26,5.0,-0.6127475306629275
2018-05-27,3.0,0.5851883553299921
2018-05-28,-3.0,-0.558868691991336
2018-05-29,8.0,0.5337327924822582
2018-05-30,-13.0,-0.5097274150078168
2018-05-31,-2.0,0.4868017129760792
2018-06-01,-2.0,-0.4649071263501514
2018-06-02,5.0,0.4439972793499221
2018-06-03,11.0,-0.42402788189200225
2018-06-04,12.0,0.404956635971346
2018-06-05,-25.0,-0.38674314595344395
2018-06-06,10.0,0.369348833078188
2018-06-07,-6.0,-0.3527368537047033
2018-06-08,2.0,0.3368720212947636
2018-06-09,-16.0,-0.321720731868826
2018-06-10,4.0,0.30725089283618273
2018-06-11,5.0,-0.29343185501345737
2018-06-12,6.0,0.2802343477081056
2018-06-13,8.0,-0.267630416717238
2018-06-14,-9.0,0.25559336511761954
2018-06-15,0.0,-0.2440976967171965
2018-06-16,0.0,0.23311906205086858
2018-06-17,-12.0,-0.22263420680464707
2018-06-18,19.0,0.2126209225598204
2018-06-19,-9.0,-0.2030579997522859
2018-06-20,-7.0,0.1939251827477095
2018-06-21,-6.0,-0.1852031269371791
2018-06-22,7.0,0.17687335776257837
2018-06-23,-1.0,-0.16891823158482933
2018-06-24,2.0,0.16132089831215365
2018-06-25,1.0,-0.15406526570917206
2018-06-26,-8.0,0.1471359653112567
2018-06-27,5.0,-0.14051831987192995
2018-06-28,4.0,0.1341983122743641
2018-06-29,4.0,-0.12816255584112823
2018-06-30,7.0,0.12239826597929654
2018-07-01,-6.0,-0.11689323310085713
2018-07-02,1.0,0.11163579676106333
2018-07-03,1.0,-0.10661482095994876
2018-07-04,-6.0,0.10181967055469117
2018-07-05,9.0,-0.09724018873286328
2018-07-06,4.0,0.09286667549885541
2018-07-07,-13.0,-0.08868986712790156
2018-07-08,26.0,0.08470091654418899
2018-07-09,-31.0,-0.08089137458149007
2018-07-10,14.0,0.07725317208662315
2018-07-11,-14.0,-0.07377860282783533
2018-07-12,-4.0,0.07046030717190457
2018-07-13,2.0,-0.06729125649538693
2018-07-14,12.0,0.06426473829698971
2018-07-15,-19.0,-0.06137434197953637
2018-07-16,8.0,0.0586139452714075
2018-07-17,1.0,-0.055977701258696354
2018-07-18,20.0,0.05346002600061135
2018-07-19,-9.0,-0.051055586701893085
2018-07-20,-14.0,0.04875929041719346
2018-07-21,8.0,-0.046566273263491054
2018-07-22,-3.0,0.04447189011769328
2018-07-23,8.0,-0.042471704777603106
2018-07-24,6.0,0.040561480565410216
2018-07-25,-6.0,-0.03873717135380313
2018-07-26,-10.0,0.036994912995694545
2018-07-27,-1.0,-0.035331015139406674
2018-07-28,3.0,0.033741953411980136
2018-07-29,11.0,-0.03222436195404934
2018-07-30,6.0,0.030775026290472372
2018-07-31,-3.0,-0.029390876521614172
2018-08-01,-2.0,0.028068980820861296
2018-08-02,-8.0,-0.026806539224595027
2018-08-03,-4.0,0.025600877701469096
2018-08-04,-1.0,-0.024449442488429944
2018-08-05,-2.0,0.023349794681482364
2018-08-06,0.0,-0.02229960506974299
2018-08-07,7.0,0.021296649201839483
2018-08-08,0.0,-0.020338802674205278
2018-08-09,-4.0,0.019424036631289845
2018-08-10,9.0,-0.018550413468153296
2018-08-11,-10.0,0.01771608272634276
2018-08-12,-1.0,-0.016919277174357525
2018-08-13,8.0,0.01615830906440062
2018-08-14,5.0,-0.015431566557488332
2018-08-15,-21.0,0.014737510309345333
2018-08-16,11.0,-0.014074670209853982
